,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
0,anetv_jkn6uvmqwh4,3416,Members of the procession walk down the street holding small horn brass instruments. A drum line,very common and most of them offer the special dessert [MASK] the city .,very common and most of them offer the special dessert ,gold,of the city .,to the city .,for the city .,in the city .,0
1,anetv_jkn6uvmqwh4,3417,A drum line passes by walking down the street playing their instruments. Members of the procession,"a huge competition , however i suggest you taking care [MASK] some fakes or cheats .","a huge competition , however i suggest you taking care ",gen,for some fakes or cheats .,in some fakes or cheats .,to some fakes or cheats .,of some fakes or cheats .,3
2,anetv_jkn6uvmqwh4,3415,A group of members in green uniforms walks waving flags. Members of the procession,"have my own plan too but i do n't same [MASK] them , i want to become a journalist .",have my own plan too but i do n't same ,gold,"of them , i want to become a journalist .","to them , i want to become a journalist .","as them , i want to become a journalist .","in them , i want to become a journalist .",2
3,anetv_jkn6uvmqwh4,3417,A drum line passes by walking down the street playing their instruments. Members of the procession,working as a journalist is very exciting [MASK] many reasons .,working as a journalist is very exciting ,gen,for many reasons .,of many reasons .,in many reasons .,to many reasons .,0
4,anetv_Bri_myFFu4A,2408,The person plays a song on the violin. The man,"bedford , we use a lot the train to go [MASK] the most important town of uk , but the train","bedford , we use a lot the train to go ",gold,"to the most important town of uk , but the train","for the most important town of uk , but the train","in the most important town of uk , but the train","of the most important town of uk , but the train",0
5,anetv_Bri_myFFu4A,2407,The person holds up the violin to his chin and gets ready. The person,"sisters just like her 's , the same ones also [MASK] the","sisters just like her 's , the same ones also ",gold,to the,of the,as the,in the,2
6,anetv_Bri_myFFu4A,2405,A person retrieves an instrument from a closet. The man,luckily the scouls are closed [MASK] ten weeks so the young girls and boys have much,luckily the scouls are closed ,gold,to ten weeks so the young girls and boys have much,for ten weeks so the young girls and boys have much,in ten weeks so the young girls and boys have much,of ten weeks so the young girls and boys have much,1
7,anetv_Bri_myFFu4A,2406,The man examines the instrument in his hand. The person,we stayed in zacatecas [MASK] a week we really had a good time .,we stayed in zacatecas ,gold,in a week we really had a good time .,for a week we really had a good time .,to a week we really had a good time .,of a week we really had a good time .,1
8,lsmdc1005_Signs-5092,6072,Someone walks over to the radio. Someone,"so , it 's not so easy [MASK] it seems .","so , it 's not so easy ",gold,in it seems .,as it seems .,to it seems .,of it seems .,1
9,lsmdc1005_Signs-5092,6072,Someone walks over to the radio. Someone,"factory smoke , etc ... but , have we thought [MASK] the food or clothes ?","factory smoke , etc ... but , have we thought ",gen,of the food or clothes ?,to the food or clothes ?,in the food or clothes ?,about the food or clothes ?,3
